suite,backbone,dataset,variant,method_label,failure_mode,failure_rate,rmse_avg_mean,rmse_avg_std,rmse_avg_n,rmse_worst_mean,rmse_worst_std,rmse_worst_n,mae_avg_mean,mae_avg_std,mae_avg_n,mae_worst_mean,mae_worst_std,mae_worst_n,uplink_mb_mean,uplink_mb_std,uplink_mb_n,runtime_sec_total_mean,runtime_sec_total_std,runtime_sec_total_n,valid_return_rate_mean,valid_return_rate_std,valid_return_rate_n,wasted_assigned_step_ratio_mean,wasted_assigned_step_ratio_std,wasted_assigned_step_ratio_n,returned_assigned_step_ratio_mean,returned_assigned_step_ratio_std,returned_assigned_step_ratio_n,empty_return_rounds_mean,empty_return_rounds_std,empty_return_rounds_n,num_parameters_mean,num_parameters_std,num_parameters_n
failure,gru,ETTm1,hetero_h4,CoRA-Core,score_correlated,0.05,0.2955756730554591,0.004244314136513582,10,0.49878135015130354,0.014368098411762852,10,0.1981086165870541,0.003230735388497259,10,0.32211215900399426,0.012894978195034778,10,114.44948196411133,0.7434373022586277,10,106.17681091999984,1.5881015031929973,10,0.9481958762886599,0.006159260594135726,10,0.0518041237113402,0.006159260594135712,10,0.9481958762886599,0.006159260594135726,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,CoRA-StepAlloc,score_correlated,0.05,0.2958707054980761,0.0042971303528350335,10,0.4998169074016282,0.014261257177972062,10,0.19822319758980134,0.003276009788489207,10,0.32389631632631277,0.013260588003025759,10,114.43392753601074,0.7864861921278723,10,106.06180648000445,1.1251403185833597,10,0.9480670103092784,0.006515913845442028,10,0.05258376288659794,0.006597905284541956,10,0.947416237113402,0.006597905284541959,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,Random,score_correlated,0.05,0.2959584755763262,0.004148471196375298,10,0.5038773577246852,0.010504335314634752,10,0.198267682058676,0.003161108023239759,10,0.33234981784660983,0.014432915904298599,10,114.38726425170898,0.8557291862323385,10,106.6898277600063,1.1146446323664065,10,0.947680412371134,0.00708958111195113,10,0.052319587628865974,0.00708958111195112,10,0.947680412371134,0.00708958111195113,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,CoRA-Core,score_correlated,0.1,0.29533654581386587,0.0044652394472504495,10,0.49873748269936924,0.01295831568985449,10,0.197758010776974,0.0035438777579432953,10,0.3232658905296698,0.013194473299924708,10,108.70989799499512,1.4207702189790725,10,102.22116458998644,2.037553349656767,10,0.9006443298969072,0.01177085679786765,10,0.09935567010309279,0.01177085679786767,10,0.9006443298969072,0.01177085679786765,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,CoRA-StepAlloc,score_correlated,0.1,0.2958111772242376,0.0043929477154097,10,0.4993034839867283,0.012615448279917434,10,0.1980542868973761,0.0035139071360002607,10,0.3254533884887022,0.013106252022602473,10,108.7254524230957,1.4387262106265661,10,101.13248216999928,2.3662417944969327,10,0.9007731958762888,0.011919619351814079,10,0.10056056701030928,0.01182122662716706,10,0.8994394329896906,0.011821226627167045,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,Random,score_correlated,0.1,0.295646421288648,0.0042918092779663615,10,0.5034888745915126,0.011528996337494346,10,0.19795547611510156,0.0036513024201845165,10,0.33005126985166644,0.01606928861158859,10,108.78767013549805,1.322278874149591,10,101.88314845001442,0.9175582824914205,10,0.9012886597938143,0.010954871566525828,10,0.09871134020618558,0.01095487156652583,10,0.9012886597938143,0.010954871566525828,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,CoRA-Core,score_correlated,0.2,0.29657744412688486,0.005134749942404884,10,0.5113209369876988,0.021745518585710943,10,0.19826033856870445,0.004267469201440695,10,0.3365539009040487,0.018958229125764656,10,96.98185920715332,1.6514248626315053,10,91.40747302001691,2.0920333645829063,10,0.8034793814432989,0.0136817940795816,10,0.19652061855670103,0.013681794079581606,10,0.8034793814432989,0.0136817940795816,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,CoRA-StepAlloc,score_correlated,0.2,0.2969092233607628,0.005176620483609141,10,0.5134194271277162,0.02428689972767,10,0.1984035711733868,0.004250130105510323,10,0.3397078131907949,0.020623490696922944,10,96.96630477905273,1.7354789209452233,10,90.44779990999959,2.357253366350249,10,0.8033505154639176,0.014378168673075916,10,0.19947809278350515,0.014783200572575577,10,0.8005219072164949,0.014783200572575582,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,Random,score_correlated,0.2,0.29661891880918023,0.004873584886342669,10,0.5130349393659659,0.019311040975230415,10,0.1985325627799237,0.004105377038026573,10,0.34047147389970367,0.023653965123343012,10,96.65521621704102,2.2602438900171316,10,90.00273186000413,1.8802044235585649,10,0.8007731958762887,0.018725763534630298,10,0.19922680412371135,0.01872576353463029,10,0.8007731958762887,0.018725763534630298,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,CoRA-Core,uniform,0.05,0.2953133884492124,0.004302989962781146,10,0.49718133339730625,0.0144023780049893,10,0.19798033073051888,0.003148322967827569,10,0.31679451841420186,0.015482788089564619,10,114.12283897399902,0.5913865476156888,10,106.45007629000466,2.2139936420413955,10,0.9454896907216496,0.004899544114298587,10,0.05451030927835051,0.004899544114298581,10,0.9454896907216496,0.004899544114298587,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,CoRA-StepAlloc,uniform,0.05,0.29551554849892736,0.004304340636783179,10,0.49790480311788504,0.014242708219090275,10,0.19806237186108996,0.003154353148592642,10,0.3186889974294255,0.014756617348149419,10,114.10728454589844,0.6010802071389509,10,107.45201277000015,2.2393297518212525,10,0.945360824742268,0.004979854551955139,10,0.05441365979381443,0.005170566208691141,10,0.9455863402061855,0.005170566208691146,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,Random,uniform,0.05,0.2957132593555738,0.0038802698716743156,10,0.5026207225232134,0.011422237702406668,10,0.19808840579581466,0.0027872743397207105,10,0.3306360700488108,0.01761051475065996,10,114.09173011779785,0.6649909641551608,10,105.94594008999411,0.8041269906747452,10,0.9452319587628863,0.005509345076623976,10,0.05476804123711341,0.005509345076623995,10,0.9452319587628863,0.005509345076623976,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,CoRA-Core,uniform,0.1,0.29583844327436915,0.0038603102269695296,10,0.4996722986135576,0.010913664621852979,10,0.19820022438536058,0.0031574216090084887,10,0.3168928522201232,0.012170196823530668,10,108.30548286437988,1.8564948257308478,10,100.65072633000091,3.059474494937841,10,0.8972938144329898,0.015380766325016813,10,0.1027061855670103,0.015380766325016825,10,0.8972938144329898,0.015380766325016813,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,CoRA-StepAlloc,uniform,0.1,0.2960255220104115,0.003935694920233776,10,0.5010482082355934,0.011157562658214807,10,0.19818687018552367,0.003194236378021113,10,0.31898561812846393,0.012274482663381499,10,108.2899284362793,1.9903185901845741,10,101.53408214001101,2.6078093766083614,10,0.8971649484536084,0.016489475070804217,10,0.10268685567010309,0.016442495781354746,10,0.8973131443298967,0.016442495781354732,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,Random,uniform,0.1,0.2961229859140173,0.004106619129101291,10,0.5044554445967084,0.01439145673231095,10,0.1983453072055092,0.0036284784733839263,10,0.328857036096813,0.011066779018697228,10,108.2899284362793,1.8136460200840785,10,100.79052849999862,1.4340114333984857,10,0.8971649484536082,0.015025770739882574,10,0.10283505154639176,0.01502577073988258,10,0.8971649484536082,0.015025770739882574,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,CoRA-Core,uniform,0.2,0.29752968423236,0.004396281280158718,10,0.4990729603778371,0.016693999161118786,10,0.19975794401369817,0.0034393188109476057,10,0.32346638612526507,0.016744809549018913,10,95.56640625,1.338444252890433,10,88.55908786000218,1.3512033148305722,10,0.7917525773195877,0.011088799175438185,10,0.20824742268041238,0.011088799175438178,10,0.7917525773195877,0.011088799175438185,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,CoRA-StepAlloc,uniform,0.2,0.2979187904608905,0.004538122123365277,10,0.5001619975405844,0.017450031500590546,10,0.1999985667619641,0.0036026340073839896,10,0.32515511199511116,0.016859637453620818,10,95.55085182189941,1.365978347386322,10,88.68365381999175,1.826025267608117,10,0.7916237113402063,0.011316914798246605,10,0.2084922680412371,0.011387529149765036,10,0.7915077319587629,0.011387529149765043,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,hetero_h4,Random,uniform,0.2,0.2976779336352512,0.0038088925353633243,10,0.5017904930417612,0.013454264614682679,10,0.20000457586984993,0.003021800068725935,10,0.334107326664886,0.013633604992779843,10,95.41086196899414,1.2382905295837128,10,89.0137158100144,1.2115805423700454,10,0.7904639175257733,0.010259041401050302,10,0.2095360824742268,0.010259041401050297,10,0.7904639175257733,0.010259041401050302,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,CoRA-Core,score_correlated,0.05,0.24822662584525185,0.0026898965030047214,10,0.4537106012182309,0.01678001529038787,10,0.16452314074396035,0.001822340737774707,10,0.2973196626705651,0.009935910012187401,10,114.77612495422363,1.0145547212723878,10,88.96383305999333,6.94139137594477,10,0.95090206185567,0.00840542557703608,10,0.0490979381443299,0.00840542557703606,10,0.95090206185567,0.00840542557703608,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,CoRA-StepAlloc,score_correlated,0.05,0.24827956532284484,0.0027815254620217975,10,0.4574230082795797,0.01735430991976874,10,0.16446486747348693,0.0018333480468510728,10,0.29884957863266703,0.009933426154973701,10,114.76057052612305,1.064591744696858,10,89.11409258000204,7.044231686282394,10,0.9507731958762887,0.008819974410797682,10,0.04974871134020619,0.00885074931342806,10,0.9502512886597938,0.008850749313428077,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,Random,score_correlated,0.05,0.24810405553896436,0.0024137142148232915,10,0.4662139309973373,0.014369973951555513,10,0.16425542505735355,0.001599548762644368,10,0.30260129285250076,0.010527756958441077,10,115.07165908813477,1.3376406237258844,10,89.64492251001066,7.2794146117141105,10,0.9533505154639176,0.01108214123477465,10,0.04664948453608246,0.01108214123477464,10,0.9533505154639176,0.01108214123477465,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,CoRA-Core,score_correlated,0.1,0.2485732288578557,0.003656604351032426,10,0.45679159409301084,0.018597089222064128,10,0.1648484794942392,0.0026250066955244384,10,0.299103031904961,0.011466404217287899,10,108.24326515197754,1.7589422793161322,10,84.38251596000046,6.657410300642059,10,0.8967783505154638,0.014572558890221299,10,0.10322164948453608,0.0145725588902213,10,0.8967783505154638,0.014572558890221299,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,CoRA-StepAlloc,score_correlated,0.1,0.24883200451675647,0.0037048256689069087,10,0.46064636378643825,0.018458622360809914,10,0.1649386836709602,0.0027187460432592614,10,0.3005017473722763,0.01126327182020629,10,108.24326515197754,1.7327660829394864,10,84.31239352999837,6.521631701694858,10,0.8967783505154638,0.01435569323879755,10,0.1042783505154639,0.014451521454475626,10,0.895721649484536,0.014451521454475624,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,Random,score_correlated,0.1,0.24802517018893983,0.003583975494197362,10,0.4676459592057058,0.019406287163682052,10,0.16420361943665204,0.002433591318963717,10,0.30258104131497293,0.011323317004040304,10,107.93217658996582,1.5887020742565285,10,83.99407934000483,6.951357031654193,10,0.894201030927835,0.01316214568741913,10,0.10579896907216495,0.013162145687419123,10,0.894201030927835,0.01316214568741913,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,CoRA-Core,score_correlated,0.2,0.24899997451177303,0.0029803650741745792,10,0.4622842731676339,0.020657897443017083,10,0.16500093244505565,0.002227656942047847,10,0.2993187441938704,0.009431774183346993,10,95.61306953430176,1.504577720975099,10,74.44045707999612,5.430350457958888,10,0.7921391752577319,0.01246518871122316,10,0.20786082474226805,0.012465188711223157,10,0.7921391752577319,0.01246518871122316,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,CoRA-StepAlloc,score_correlated,0.2,0.24933100757113297,0.002992884539759187,10,0.46551649279085316,0.020788555896947045,10,0.1651500550818449,0.0021356481470841235,10,0.30100662853502796,0.009273120062419076,10,95.70639610290527,1.509928298747011,10,74.3032837600098,5.347310866482281,10,0.7929123711340207,0.01250951740272986,10,0.2094458762886598,0.01283783011598498,10,0.7905541237113403,0.012837830115984966,10,0.0,0.0,10,40775.0,0.0,10
